,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
707,31,"Sunday, May 8",boxscore,BOS,@,NYY,W,5,1,,18-13,2,0.5,Wright,Severino,,2:27,N,41869,+,,2016
708,32,"Monday, May 9",boxscore,BOS,,OAK,W,14,7,,19-13,1,Tied,Buchholz,Gray,,3:46,N,35227,++,,2016
709,33,"Tuesday, May 10",boxscore,BOS,,OAK,W,13,5,,20-13,1,Tied,O'Sullivan,Manaea,,3:07,N,32167,+++,,2016
710,34,"Wednesday, May 11",boxscore,BOS,,OAK,W,13,3,,21-13,1,Tied,Porcello,Surkamp,,3:17,N,33283,++++,,2016
711,35,"Thursday, May 12",boxscore,BOS,,HOU,W,11,1,,22-13,1,Tied,Price,Keuchel,,2:56,N,34982,+++++,,2016
712,36,"Friday, May 13",boxscore,BOS,,HOU,L,6,7,,22-14,2,1,Feldman,Barnes,Gregerson,3:49,N,33148,-,,2016
713,37,"Saturday, May 14",boxscore,BOS,,HOU,W-wo,6,5,11,23-14,2,1,Uehara,Feliz,,4:13,D,37430,+,,2016
714,38,"Sunday, May 15",boxscore,BOS,,HOU,W,10,9,,24-14,1,Tied,Hembree,Feldman,Kimbrel,3:40,D,35736,++,,2016
715,39,"Tuesday, May 17",boxscore,BOS,@,KCR,L,4,8,,24-15,1,Tied,Ventura,Porcello,,2:54,N,25215,-,,2016
716,40,"Wednesday, May 18 (1)",boxscore,BOS,@,KCR,L,2,3,,24-16,2,0.5,Flynn,Wright,Davis,2:23,D,33613,--,,2016
717,41,"Wednesday, May 18 (2)",boxscore,BOS,@,KCR,W,5,2,,25-16,2,0.5,Price,Volquez,Kimbrel,3:06,N,23739,+,2016-05-16 (Rain),2016
718,42,"Friday, May 20",boxscore,BOS,,CLE,L,2,4,,25-17,2,1,Kluber,Buchholz,Allen,3:07,N,37354,-,,2016
719,43,"Saturday, May 21",boxscore,BOS,,CLE,W,9,1,,26-17,2,1,Kelly,Bauer,,3:17,D,37254,+,,2016
720,44,"Sunday, May 22",boxscore,BOS,,CLE,W,5,2,,27-17,1,Tied,Porcello,Salazar,Kimbrel,3:23,D,36021,++,,2016
721,45,"Tuesday, May 24",boxscore,BOS,,COL,W,8,3,,28-17,1,up 1.0,Price,De La Rosa,,2:55,N,36123,+++,,2016
722,46,"Wednesday, May 25",boxscore,BOS,,COL,W,10,3,,29-17,1,up 2.0,Wright,Bettis,,3:09,N,36430,++++,,2016
723,47,"Thursday, May 26",boxscore,BOS,,COL,L,2,8,,29-18,1,up 2.0,Gray,Buchholz,,2:51,N,36162,-,,2016
724,48,"Friday, May 27",boxscore,BOS,@,TOR,L,5,7,,29-19,1,up 1.0,Biagini,Uehara,Osuna,2:53,N,46470,--,,2016
725,49,"Saturday, May 28",boxscore,BOS,@,TOR,L-wo,9,10,,29-20,1,up 1.0,Floyd,Kimbrel,,3:37,D,48154,---,,2016
726,50,"Sunday, May 29",boxscore,BOS,@,TOR,W,5,3,11,30-20,1,up 1.0,Buchholz,Floyd,Uehara,4:07,D,47916,+,,2016
727,51,"Monday, May 30",boxscore,BOS,@,BAL,W,7,2,,31-20,1,up 2.0,Wright,Wilson,,2:54,D,43926,++,,2016
728,52,"Tuesday, May 31",boxscore,BOS,@,BAL,W,6,2,,32-20,1,up 3.0,Rodriguez,Gausman,,2:48,N,17664,+++,,2016
729,Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2016
730,53,"Wednesday, Jun 1",boxscore,BOS,@,BAL,L,9,13,,32-21,1,up 2.0,Brach,Buchholz,Britton,3:58,N,20750,-,,2016
731,54,"Thursday, Jun 2",boxscore,BOS,@,BAL,L,7,12,,32-22,1,up 1.0,Givens,Ross,,2:57,N,21534,--,,2016
