,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
772,94,"Friday, Jul 22",boxscore,BOS,,MIN,L,1,2,,54-40,2,0.5,Gibson,Rodriguez,Kintzler,3:00,N,37001,-,,2016
773,95,"Saturday, Jul 23",boxscore,BOS,,MIN,L,9,11,,54-41,2,1.5,Pressly,Layne,Kintzler,4:11,N,37600,--,,2016
774,96,"Sunday, Jul 24",boxscore,BOS,,MIN,W,8,7,,55-41,2,1.5,Porcello,Milone,Ziegler,3:15,D,36806,+,,2016
775,97,"Monday, Jul 25",boxscore,BOS,,DET,L,2,4,,55-42,2,2.5,Verlander,Pomeranz,Rodriguez,3:27,N,37479,-,,2016
776,98,"Tuesday, Jul 26",boxscore,BOS,,DET,L,8,9,,55-43,3,2.5,Wilson,Ross,Rodriguez,3:33,N,38378,--,,2016
777,99,"Wednesday, Jul 27",boxscore,BOS,,DET,L,3,4,,55-44,3,2.5,Rondon,Ziegler,Wilson,2:55,D,37842,---,,2016
778,100,"Thursday, Jul 28",boxscore,BOS,@,LAA,L-wo,1,2,,55-45,3,2.5,Bedrosian,Ziegler,,3:05,N,41257,----,,2016
779,101,"Friday, Jul 29",boxscore,BOS,@,LAA,W,6,2,,56-45,3,1.5,Porcello,Lincecum,,2:30,N,39113,+,,2016
780,102,"Saturday, Jul 30",boxscore,BOS,@,LAA,L,2,5,,56-46,3,2,Santiago,Pomeranz,Street,3:06,N,43150,-,,2016
781,103,"Sunday, Jul 31",boxscore,BOS,@,LAA,W,5,3,,57-46,3,1.5,Buchholz,Street,Ziegler,3:32,D,39553,+,,2016
782,Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2016
783,104,"Monday, Aug 1",boxscore,BOS,@,SEA,W,2,1,,58-46,2,1,Tazawa,Cishek,Kimbrel,2:42,N,29601,++,,2016
784,105,"Tuesday, Aug 2",boxscore,BOS,@,SEA,L,4,5,,58-47,3,2,Roach,Abad,Diaz,2:30,N,25240,-,,2016
785,106,"Wednesday, Aug 3",boxscore,BOS,@,SEA,L,1,3,,58-48,3,3,Iwakuma,Porcello,Diaz,2:16,N,24494,--,,2016
786,107,"Thursday, Aug 4",boxscore,BOS,@,SEA,W,3,2,11,59-48,3,2,Kimbrel,Martin,Ziegler,3:47,N,33369,+,,2016
787,108,"Friday, Aug 5",boxscore,BOS,@,LAD,W,9,0,,60-48,3,2,Wright,Kazmir,,2:49,N,52728,++,,2016
788,109,"Saturday, Aug 6",boxscore,BOS,@,LAD,L,0,3,,60-49,3,2,Stripling,Rodriguez,Jansen,2:54,D,47696,-,,2016
789,110,"Sunday, Aug 7",boxscore,BOS,@,LAD,L,5,8,,60-50,3,3,Fields,Price,Jansen,3:23,D,50640,--,,2016
790,111,"Tuesday, Aug 9",boxscore,BOS,,NYY,W,5,3,,61-50,3,1.5,Porcello,Severino,Barnes,3:13,N,38089,+,,2016
791,112,"Wednesday, Aug 10",boxscore,BOS,,NYY,L,4,9,,61-51,3,2.5,Clippard,Abad,,4:15,N,37779,-,,2016
792,113,"Thursday, Aug 11",boxscore,BOS,,NYY,L,2,4,,61-52,3,3,Cessa,Ziegler,Betances,3:02,N,38161,--,,2016
793,114,"Friday, Aug 12",boxscore,BOS,,ARI,W,9,4,,62-52,3,2.5,Price,Corbin,,2:53,N,37555,+,,2016
794,115,"Saturday, Aug 13",boxscore,BOS,,ARI,W,6,3,,63-52,3,2,Ross,Bradley,Kimbrel,3:12,N,37653,++,,2016
795,116,"Sunday, Aug 14",boxscore,BOS,,ARI,W,16,2,,64-52,3,2,Porcello,Greinke,,2:49,D,36842,+++,,2016
796,117,"Monday, Aug 15",boxscore,BOS,@,CLE,W,3,2,,65-52,3,1,Pomeranz,Tomlin,Kimbrel,2:57,D,19174,++++,2016-04-07 (Rain),2016
797,118,"Tuesday, Aug 16",boxscore,BOS,@,BAL,W,5,3,,66-52,2,1,Ziegler,Brach,Kimbrel,3:05,N,26014,+++++,,2016
798,119,"Wednesday, Aug 17",boxscore,BOS,@,BAL,W,8,1,6,67-52,2,1,Price,Bundy,,2:12,N,26160,++++++,,2016
799,120,"Thursday, Aug 18",boxscore,BOS,@,DET,L,3,4,,67-53,2,1.5,Wilson,Tazawa,Rodriguez,3:23,D,34649,-,,2016
800,121,"Friday, Aug 19",boxscore,BOS,@,DET,W,10,2,,68-53,2,0.5,Porcello,Fulmer,,2:46,N,36108,+,,2016
801,122,"Saturday, Aug 20",boxscore,BOS,@,DET,W,3,2,,69-53,2,0.5,Pomeranz,Norris,Kimbrel,2:36,N,37886,++,,2016
802,123,"Sunday, Aug 21",boxscore,BOS,@,DET,L,5,10,,69-54,2,0.5,Verlander,Owens,,3:09,D,31032,-,,2016
803,124,"Monday, Aug 22",boxscore,BOS,@,TBR,W,6,2,,70-54,1,Tied,Price,Snell,,3:13,N,13576,+,,2016
804,125,"Tuesday, Aug 23",boxscore,BOS,@,TBR,W,2,1,,71-54,1,Tied,Buchholz,Archer,Kimbrel,3:09,N,11249,++,,2016
805,126,"Wednesday, Aug 24",boxscore,BOS,@,TBR,L-wo,3,4,11,71-55,1,Tied,Boxberger,Hembree,,3:41,N,11896,-,,2016
806,127,"Thursday, Aug 25",boxscore,BOS,@,TBR,L,1,2,,71-56,1,Tied,Odorizzi,Pomeranz,Romero,2:32,D,12059,--,,2016
807,128,"Friday, Aug 26",boxscore,BOS,,KCR,L,3,6,,71-57,2,1,Kennedy,Wright,Herrera,3:14,N,38134,---,,2016
808,129,"Saturday, Aug 27",boxscore,BOS,,KCR,W,8,3,,72-57,2,1,Price,Duffy,,3:03,N,37933,+,,2016
809,130,"Sunday, Aug 28",boxscore,BOS,,KCR,L,4,10,,72-58,2,2,Strahm,Rodriguez,,3:25,N,37337,-,,2016
810,131,"Monday, Aug 29",boxscore,BOS,,TBR,W,9,4,,73-58,2,2,Porcello,Andriese,,3:11,N,36948,+,,2016
811,132,"Tuesday, Aug 30",boxscore,BOS,,TBR,L,3,4,,73-59,2,2,Romero,Buchholz,Colome,3:11,N,37083,-,,2016
812,133,"Wednesday, Aug 31",boxscore,BOS,,TBR,W,8,6,,74-59,2,2,Tazawa,Ramirez,Kimbrel,3:10,D,36786,+,,2016
813,Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2016
814,134,"Friday, Sep 2",boxscore,BOS,@,OAK,W,16,2,,75-59,2,1,Price,Neal,,3:27,N,21376,++,,2016
815,135,"Saturday, Sep 3",boxscore,BOS,@,OAK,W,11,2,,76-59,1,Tied,Porcello,Mengden,,3:00,N,30045,+++,,2016
816,136,"Sunday, Sep 4",boxscore,BOS,@,OAK,L-wo,0,1,,76-60,2,1,Madson,Kimbrel,,2:39,D,25139,-,,2016
817,137,"Monday, Sep 5",boxscore,BOS,@,SDP,L,1,2,,76-61,2,1,Jackson,Pomeranz,Maurer,3:01,D,40446,--,,2016
818,138,"Tuesday, Sep 6",boxscore,BOS,@,SDP,W,5,1,,77-61,1,Tied,Buchholz,Clemens,,3:04,N,30644,+,,2016
819,139,"Wednesday, Sep 7",boxscore,BOS,@,SDP,W,7,2,,78-61,1,up 1.0,Price,Cosart,,3:01,N,31662,++,,2016
820,140,"Friday, Sep 9",boxscore,BOS,@,TOR,W,13,3,,79-61,1,up 2.0,Porcello,Estrada,,3:23,N,46953,+++,,2016
821,141,"Saturday, Sep 10",boxscore,BOS,@,TOR,L,2,3,,79-62,1,up 1.0,Happ,Rodriguez,Osuna,3:03,D,47829,-,,2016
822,142,"Sunday, Sep 11",boxscore,BOS,@,TOR,W,11,8,,80-62,1,up 2.0,Ross,Schultz,Kimbrel,3:46,D,47816,+,,2016
823,143,"Monday, Sep 12",boxscore,BOS,,BAL,W,12,2,,81-62,1,up 2.0,Price,Miley,,2:40,N,37551,++,,2016
824,144,"Tuesday, Sep 13",boxscore,BOS,,BAL,L,3,6,,81-63,1,up 2.0,Bundy,Pomeranz,Britton,3:29,N,38041,-,,2016
825,145,"Wednesday, Sep 14",boxscore,BOS,,BAL,L,0,1,,81-64,1,up 1.0,Gausman,Porcello,Britton,2:35,N,37973,--,,2016
826,146,"Thursday, Sep 15",boxscore,BOS,,NYY,W-wo,7,5,,82-64,1,up 2.0,Kelly,Betances,,3:52,N,37767,+,,2016
827,147,"Friday, Sep 16",boxscore,BOS,,NYY,W,7,4,,83-64,1,up 2.0,Buchholz,Cessa,Kimbrel,3:13,N,37927,++,,2016
828,148,"Saturday, Sep 17",boxscore,BOS,,NYY,W,6,5,,84-64,1,up 3.0,Barnes,Warren,Kimbrel,3:36,D,37267,+++,,2016
829,149,"Sunday, Sep 18",boxscore,BOS,,NYY,W,5,4,,85-64,1,up 3.0,Scott,Clippard,Uehara,3:31,N,37306,++++,,2016
830,150,"Monday, Sep 19",boxscore,BOS,@,BAL,W,5,2,,86-64,1,up 4.0,Porcello,Bundy,,2:33,N,18456,+++++,,2016
831,151,"Tuesday, Sep 20",boxscore,BOS,@,BAL,W,5,2,,87-64,1,up 4.0,Rodriguez,Gausman,Kimbrel,3:14,N,20387,++++++,,2016
832,152,"Wednesday, Sep 21",boxscore,BOS,@,BAL,W,5,1,,88-64,1,up 5.0,Buchholz,Jimenez,,2:55,N,20865,+++++++,,2016
833,153,"Thursday, Sep 22",boxscore,BOS,@,BAL,W,5,3,,89-64,1,up 5.5,Price,Worley,Kimbrel,3:19,N,26788,++++++++,,2016
834,154,"Friday, Sep 23",boxscore,BOS,@,TBR,W,2,1,,90-64,1,up 5.5,Pomeranz,Archer,Ziegler,2:52,N,20543,+++++++++,,2016
835,155,"Saturday, Sep 24",boxscore,BOS,@,TBR,W,6,4,,91-64,1,up 5.5,Porcello,Garton,Kimbrel,3:10,N,25641,++++++++++,,2016
836,156,"Sunday, Sep 25",boxscore,BOS,@,TBR,W,3,2,10,92-64,1,up 5.5,Kelly,Gamboa,,4:01,D,26443,+++++++++++,,2016
837,157,"Tuesday, Sep 27",boxscore,BOS,@,NYY,L,4,6,,92-65,1,up 5.0,Parker,Price,Clippard,3:09,N,35161,-,,2016
838,158,"Wednesday, Sep 28",boxscore,BOS,@,NYY,L-wo,3,5,,92-66,1,up 5.0,Pazos,Kimbrel,,3:28,N,35520,--,,2016
839,159,"Thursday, Sep 29",boxscore,BOS,@,NYY,L,1,5,,92-67,1,up 5.0,Sabathia,Owens,,3:17,N,41597,---,,2016
840,160,"Friday, Sep 30",boxscore,BOS,,TOR,W,5,3,,93-67,1,up 5.0,Ziegler,Biagini,Kimbrel,3:25,N,37661,+,,2016
841,Gm#,October,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2016
842,161,"Saturday, Oct 1",boxscore,BOS,,TOR,L,3,4,,93-68,1,up 5.0,Osuna,Kimbrel,,3:29,N,37396,-,,2016
843,162,"Sunday, Oct 2",boxscore,BOS,,TOR,L,1,2,,93-69,1,up 4.0,Sanchez,Ziegler,Osuna,3:14,D,36787,--,,2016
844,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2016
845,1,"Monday, Apr 3",boxscore,BOS,,PIT,W,5,3,,Jan-00,1,Tied,Porcello,Cole,Kimbrel,3:03,D,36594,+,,2017
846,2,"Wednesday, Apr 5",boxscore,BOS,,PIT,W-wo,3,0,12,Feb-00,1,Tied,Kelly,Bastardo,,3:53,N,36137,++,,2017
847,3,"Friday, Apr 7",boxscore,BOS,@,DET,L,5,6,,1-Feb,2,1,Rodriguez,Hembree,,3:35,D,45013,-,,2017
848,4,"Saturday, Apr 8",boxscore,BOS,@,DET,L,1,4,,2-Feb,3,2,Zimmermann,Rodriguez,Wilson,3:05,D,32622,--,,2017
849,5,"Sunday, Apr 9",boxscore,BOS,@,DET,W,7,5,,2-Mar,3,1,Barnes,Rondon,Kimbrel,3:27,D,33662,+,,2017
850,6,"Monday, Apr 10",boxscore,BOS,@,DET,L,1,2,,3-Mar,3,1.5,Wilson,Sale,Rodriguez,2:44,D,24672,-,,2017
851,7,"Tuesday, Apr 11",boxscore,BOS,,BAL,W,8,1,,3-Apr,3,0.5,Pomeranz,Bundy,,3:15,N,37497,+,,2017
852,8,"Wednesday, Apr 12",boxscore,BOS,,BAL,L,5,12,,4-Apr,3,1.5,Givens,Wright,,3:46,N,32211,-,,2017
853,9,"Thursday, Apr 13",boxscore,BOS,,PIT,W,4,3,,4-May,2,1.5,Barnes,Nicasio,Kimbrel,3:15,D,32400,+,,2017
854,10,"Friday, Apr 14",boxscore,BOS,,TBR,L,5,10,,5-May,4,2.5,Archer,Porcello,,3:37,N,36813,-,,2017
855,11,"Saturday, Apr 15",boxscore,BOS,,TBR,W,2,1,,5-Jun,3,1.5,Sale,Hunter,Kimbrel,2:54,D,36686,+,,2017
856,12,"Sunday, Apr 16",boxscore,BOS,,TBR,W,7,5,,5-Jul,3,1.5,Kelly,Farquhar,Kimbrel,3:46,D,36209,++,,2017
857,13,"Monday, Apr 17",boxscore,BOS,,TBR,W,4,3,,5-Aug,3,1,Wright,Snell,Kimbrel,3:07,D,37318,+++,,2017
858,14,"Tuesday, Apr 18",boxscore,BOS,@,TOR,W,8,7,,5-Sep,1,Tied,Johnson,Stroman,,3:48,N,29281,++++,,2017
859,15,"Wednesday, Apr 19",boxscore,BOS,@,TOR,L,0,3,,6-Sep,3,1,Liriano,Porcello,Osuna,2:45,N,30842,-,,2017
860,16,"Thursday, Apr 20",boxscore,BOS,@,TOR,W,4,1,10,6-Oct,3,1,Kimbrel,Grilli,,3:07,D,44283,+,,2017
861,17,"Friday, Apr 21",boxscore,BOS,@,BAL,L,0,2,,7-Oct,3,2,Bundy,Pomeranz,Brach,3:20,N,34442,-,,2017
862,18,"Saturday, Apr 22",boxscore,BOS,@,BAL,L,2,4,,8-Oct,3,3,Aquino,Wright,O'Day,2:47,N,35457,--,,2017
863,19,"Sunday, Apr 23",boxscore,BOS,@,BAL,W,6,2,,8-Nov,3,2,Rodriguez,Gausman,Kimbrel,3:34,D,35522,+,,2017
864,20,"Wednesday, Apr 26",boxscore,BOS,,NYY,L,1,3,,9-Nov,3,3,Severino,Porcello,Chapman,3:16,N,32072,-,,2017
865,21,"Thursday, Apr 27",boxscore,BOS,,NYY,L,0,3,,10-Nov,3,3.5,Tanaka,Sale,,2:21,N,34054,--,,2017
866,22,"Friday, Apr 28",boxscore,BOS,,CHC,W,5,4,,10-Dec,3,2.5,Pomeranz,Arrieta,Kimbrel,3:28,N,37054,+,,2017
867,23,"Saturday, Apr 29",boxscore,BOS,,CHC,L,4,7,,11-Dec,3,3.5,Lackey,Wright,Davis,3:00,D,36776,-,,2017
868,24,"Sunday, Apr 30",boxscore,BOS,,CHC,W,6,2,,13-11,3,2.5,Barnes,Uehara,,3:28,N,36916,+,,2017
869,Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2017
870,25,"Monday, May 1",boxscore,BOS,,BAL,L,2,5,,13-12,3,3.5,Bundy,Porcello,Brach,3:10,N,33489,-,,2017
871,26,"Tuesday, May 2",boxscore,BOS,,BAL,W,5,2,,14-12,3,2.5,Sale,Asher,Kimbrel,2:33,N,32932,+,,2017
872,27,"Wednesday, May 3",boxscore,BOS,,BAL,W,4,2,,15-12,3,2.5,Pomeranz,Gausman,Kimbrel,3:24,N,33162,++,,2017
873,28,"Thursday, May 4",boxscore,BOS,,BAL,L,3,8,,15-13,3,3,Wilson,Kendrick,,3:21,N,36563,-,,2017
874,29,"Friday, May 5",boxscore,BOS,@,MIN,L-wo,3,4,,15-14,3,4,Kintzler,Barnes,,3:24,N,28707,--,,2017
875,30,"Saturday, May 6",boxscore,BOS,@,MIN,W,11,1,,16-14,3,4,Porcello,Tepesch,,3:03,D,30859,+,,2017
876,31,"Sunday, May 7",boxscore,BOS,@,MIN,W,17,6,,17-14,3,4,Sale,Santana,,3:46,D,31763,++,,2017
877,32,"Tuesday, May 9",boxscore,BOS,@,MIL,L,7,11,,17-15,3,5,Torres,Pomeranz,,3:38,N,22524,-,,2017
878,33,"Wednesday, May 10",boxscore,BOS,@,MIL,L,4,7,,17-16,3,5,Scahill,Kendrick,,3:37,N,23095,--,,2017
879,34,"Thursday, May 11",boxscore,BOS,@,MIL,W,4,1,,18-16,3,4.5,Kimbrel,Feliz,,3:29,D,26499,+,,2017
880,35,"Friday, May 12",boxscore,BOS,,TBR,L,4,5,,18-17,3,4.5,Cobb,Porcello,Colome,3:24,N,36496,-,,2017
881,36,"Saturday, May 13",boxscore,BOS,,TBR,W,6,3,,19-17,3,3.5,Sale,Snell,Kimbrel,2:54,D,35447,+,,2017
882,37,"Sunday, May 14",boxscore,BOS,,TBR,L,2,11,,19-18,3,4,Andriese,Pomeranz,,4:32,D,35080,-,,2017
883,38,"Tuesday, May 16",boxscore,BOS,@,STL,W,6,3,,20-18,3,4,Rodriguez,Lynn,Kimbrel,3:21,N,41514,+,,2017
884,39,"Wednesday, May 17",boxscore,BOS,@,STL,W,5,4,13,21-18,3,4,Abad,Tuivailala,Taylor,4:20,N,44365,++,,2017
885,40,"Thursday, May 18",boxscore,BOS,@,OAK,L,3,8,,21-19,3,4,Gray,Velazquez,,3:09,N,12016,-,,2017
886,41,"Friday, May 19",boxscore,BOS,@,OAK,L-wo,2,3,10,21-20,3,4,Dull,Hembree,,3:12,N,24728,--,,2017
887,42,"Saturday, May 20",boxscore,BOS,@,OAK,L,3,8,,21-21,4,4.5,Manaea,Taylor,,3:22,D,20235,---,,2017
888,43,"Sunday, May 21",boxscore,BOS,@,OAK,W,12,3,,22-21,3,4,Rodriguez,Triggs,,3:11,D,20691,+,,2017
889,44,"Tuesday, May 23",boxscore,BOS,,TEX,W,11,6,,23-21,3,3.5,Porcello,Cashner,,3:23,N,34769,++,,2017
890,45,"Wednesday, May 24",boxscore,BOS,,TEX,W,9,4,,24-21,3,3.5,Sale,Dyson,,2:59,N,36089,+++,,2017
891,46,"Thursday, May 25",boxscore,BOS,,TEX,W,6,2,,25-21,3,3,Pomeranz,Martinez,,3:23,N,33484,++++,,2017
892,47,"Friday, May 26",boxscore,BOS,,SEA,W,3,0,,26-21,2,2,Rodriguez,Gallardo,Kimbrel,3:11,N,35080,+++++,,2017
893,48,"Saturday, May 27",boxscore,BOS,,SEA,W,6,0,,27-21,2,2,Johnson,Whalen,,2:23,D,36985,++++++,,2017
894,49,"Sunday, May 28",boxscore,BOS,,SEA,L,0,5,,27-22,2,3,Bergman,Porcello,,3:14,D,37174,-,,2017
895,50,"Monday, May 29",boxscore,BOS,@,CHW,L,4,5,,27-23,2,3,Minaya,Barnes,Robertson,3:16,D,27148,--,,2017
896,51,"Tuesday, May 30",boxscore,BOS,@,CHW,W,13,7,,28-23,2,3,Sale,Quintana,Kimbrel,3:53,N,21852,+,,2017
897,52,"Wednesday, May 31",boxscore,BOS,@,CHW,W,4,1,,29-23,2,2,Pomeranz,Swarzak,Kimbrel,2:59,N,19075,++,,2017
898,Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2017
899,53,"Thursday, Jun 1",boxscore,BOS,@,BAL,L,5,7,,29-24,2,3,Miley,Rodriguez,,2:38,N,20150,-,,2017
900,54,"Friday, Jun 2",boxscore,BOS,@,BAL,L,2,3,,29-25,3,3,Asher,Porcello,Brach,2:59,N,33193,--,,2017
901,55,"Saturday, Jun 3",boxscore,BOS,@,BAL,W,5,2,,30-25,2,3,Price,Bundy,Kimbrel,3:22,N,35470,+,,2017
902,56,"Sunday, Jun 4",boxscore,BOS,@,BAL,W,7,3,,31-25,2,2,Sale,Tillman,,3:06,D,31819,++,,2017
903,57,"Tuesday, Jun 6",boxscore,BOS,@,NYY,W,5,4,,32-25,2,1,Pomeranz,Tanaka,Kimbrel,3:35,N,41516,+++,,2017
904,58,"Wednesday, Jun 7",boxscore,BOS,@,NYY,L,0,8,,32-26,2,2,Sabathia,Porcello,,2:42,N,44380,-,,2017
905,59,"Thursday, Jun 8",boxscore,BOS,@,NYY,L,1,9,,32-27,2,3,Pineda,Price,,3:27,N,46194,--,,2017
906,60,"Friday, Jun 9",boxscore,BOS,,DET,W,5,3,,33-27,2,3,Barnes,Wilson,Kimbrel,3:36,N,36853,+,,2017
907,61,"Saturday, Jun 10",boxscore,BOS,,DET,W,11,3,,34-27,2,3,Sale,Saupold,,3:39,N,37162,++,,2017
908,62,"Sunday, Jun 11",boxscore,BOS,,DET,L,3,8,,34-28,2,4,Norris,Pomeranz,,4:06,N,35457,-,,2017
909,63,"Monday, Jun 12",boxscore,BOS,,PHI,W-wo,6,5,11,35-28,2,4,Barnes,Fien,,4:16,N,36757,+,,2017
910,64,"Tuesday, Jun 13",boxscore,BOS,,PHI,W-wo,4,3,12,36-28,2,3,Abad,Garcia,,4:24,N,37141,++,,2017
911,65,"Wednesday, Jun 14",boxscore,BOS,@,PHI,W,7,3,,37-28,2,2,Velazquez,Hellickson,,3:26,N,28263,+++,,2017
912,66,"Thursday, Jun 15",boxscore,BOS,@,PHI,L,0,1,,37-29,2,2,Neshek,Sale,Neris,2:25,N,30729,-,,2017
913,67,"Friday, Jun 16",boxscore,BOS,@,HOU,W,2,1,,38-29,2,1,Kelly,Harris,Kimbrel,3:11,N,36189,+,,2017
914,68,"Saturday, Jun 17",boxscore,BOS,@,HOU,L,1,7,,38-30,2,1,Paulino,Porcello,,2:34,N,41017,-,,2017
915,69,"Sunday, Jun 18",boxscore,BOS,@,HOU,W,6,5,,39-30,1,Tied,Price,Musgrove,Kimbrel,4:08,N,38389,+,,2017
916,70,"Monday, Jun 19",boxscore,BOS,@,KCR,L,2,4,,39-31,2,0.5,Hammel,Boyer,Herrera,3:11,N,27992,-,,2017
917,71,"Tuesday, Jun 20",boxscore,BOS,@,KCR,W,8,3,,40-31,1,up 0.5,Sale,Strahm,,2:54,N,25983,+,,2017
918,72,"Wednesday, Jun 21",boxscore,BOS,@,KCR,L,4,6,,40-32,2,0.5,Soria,Scott,Herrera,3:07,D,30826,-,,2017
919,73,"Friday, Jun 23",boxscore,BOS,,LAA,W,9,4,,41-32,1,Tied,Porcello,Meyer,,3:07,N,37034,+,,2017
920,74,"Saturday, Jun 24",boxscore,BOS,,LAA,L,3,6,,41-33,1,Tied,Ramirez,Price,Parker,3:34,N,36868,-,,2017
921,75,"Sunday, Jun 25",boxscore,BOS,,LAA,L,2,4,,41-34,1,Tied,Bridwell,Fister,Petit,2:50,D,36474,--,,2017
922,76,"Monday, Jun 26",boxscore,BOS,,MIN,W,4,1,,42-34,1,Tied,Sale,Berrios,Kimbrel,2:55,N,37172,+,,2017
923,77,"Tuesday, Jun 27",boxscore,BOS,,MIN,W,9,2,,43-34,1,up 1.0,Pomeranz,Santiago,,3:18,N,36804,++,,2017
924,78,"Wednesday, Jun 28",boxscore,BOS,,MIN,L,1,4,,43-35,1,Tied,Mejia,Porcello,Kintzler,3:14,N,37487,-,,2017
925,79,"Thursday, Jun 29",boxscore,BOS,,MIN,W,6,3,,44-35,1,up 1.0,Price,Gibson,Kimbrel,3:24,N,37445,+,,2017
926,80,"Friday, Jun 30",boxscore,BOS,@,TOR,W,7,4,11,45-35,1,up 1.0,Boyer,Loup,Kimbrel,4:44,N,41357,++,,2017
927,Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2017
928,81,"Saturday, Jul 1",boxscore,BOS,@,TOR,W,7,1,,46-35,1,up 2.0,Sale,Liriano,,2:54,D,46672,+++,,2017
929,82,"Sunday, Jul 2",boxscore,BOS,@,TOR,W,15,1,,47-35,1,up 3.0,Pomeranz,Biagini,Abad,3:34,D,46696,++++,,2017
930,83,"Monday, Jul 3",boxscore,BOS,@,TEX,W,7,5,11,48-35,1,up 3.0,Hembree,Frieri,,4:07,N,45448,+++++,,2017
931,84,"Tuesday, Jul 4",boxscore,BOS,@,TEX,W,11,4,,49-35,1,up 4.0,Price,Darvish,,3:56,N,43267,++++++,,2017
932,85,"Wednesday, Jul 5",boxscore,BOS,@,TEX,L,2,8,,49-36,1,up 4.0,Cashner,Fister,,2:52,N,32276,-,,2017
933,86,"Thursday, Jul 6",boxscore,BOS,@,TBR,L,1,4,,49-37,1,up 3.5,Faria,Sale,Colome,2:43,N,23375,--,,2017
934,87,"Friday, Jul 7",boxscore,BOS,@,TBR,W,8,3,,50-37,1,up 4.5,Pomeranz,Odorizzi,,3:24,N,24842,+,,2017
935,88,"Saturday, Jul 8",boxscore,BOS,@,TBR,L,0,1,,50-38,1,up 3.5,Cobb,Porcello,Colome,2:41,D,23419,-,,2017
936,89,"Sunday, Jul 9",boxscore,BOS,@,TBR,L,3,5,,50-39,1,up 3.5,Boxberger,Kelly,Colome,3:07,D,20812,--,,2017
937,90,"Friday, Jul 14",boxscore,BOS,,NYY,W-wo,5,4,,51-39,1,up 3.5,Scott,Chapman,,3:27,N,37570,+,,2017
938,91,"Saturday, Jul 15",boxscore,BOS,,NYY,L,1,4,16,51-40,1,up 2.5,Heller,Fister,,5:50,D,36936,-,,2017
939,92,"Sunday, Jul 16 (1)",boxscore,BOS,,NYY,L,0,3,,51-41,1,up 3.0,Sabathia,Porcello,Chapman,3:13,D,37343,--,,2017
940,93,"Sunday, Jul 16 (2)",boxscore,BOS,,NYY,W,3,0,,52-41,1,up 3.0,Price,Tanaka,Kimbrel,2:59,N,36719,+,,2017
941,94,"Monday, Jul 17",boxscore,BOS,,TOR,L,3,4,,52-42,1,up 2.0,Tepera,Hembree,Osuna,3:18,N,36144,-,,2017
942,95,"Tuesday, Jul 18",boxscore,BOS,,TOR,W-wo,5,4,15,53-42,1,up 2.0,Velazquez,Bolsinger,,4:59,N,36488,+,,2017
943,96,"Wednesday, Jul 19",boxscore,BOS,,TOR,W,5,1,,54-42,1,up 3.0,Pomeranz,Sanchez,,2:47,N,37360,++,,2017
944,97,"Thursday, Jul 20",boxscore,BOS,,TOR,L,6,8,,54-43,1,up 2.5,Leone,Fister,Osuna,3:25,D,37094,-,,2017
945,98,"Friday, Jul 21",boxscore,BOS,@,LAA,W,6,2,,55-43,1,up 3.5,Sale,Nolasco,,3:05,N,37714,+,,2017
946,99,"Saturday, Jul 22",boxscore,BOS,@,LAA,L,3,7,,55-44,1,up 3.5,Ramirez,Price,,3:07,N,43829,-,,2017
947,100,"Sunday, Jul 23",boxscore,BOS,@,LAA,L,2,3,,55-45,1,up 2.5,Bridwell,Porcello,Norris,2:13,D,40471,--,,2017
948,101,"Monday, Jul 24",boxscore,BOS,@,SEA,L,0,4,,55-46,1,up 2.0,Paxton,Rodriguez,,2:40,N,29262,---,,2017
949,102,"Tuesday, Jul 25",boxscore,BOS,@,SEA,L-wo,5,6,13,55-47,1,up 1.0,Zych,Fister,,4:59,N,28992,----,,2017
950,103,"Wednesday, Jul 26",boxscore,BOS,@,SEA,W,4,0,,56-47,1,up 1.0,Sale,Moore,Kimbrel,2:53,D,39797,+,,2017
951,104,"Friday, Jul 28",boxscore,BOS,,KCR,L,2,4,,56-48,2,0.5,Vargas,Porcello,Herrera,2:44,N,37321,-,,2017
